,size,year,garage
0,159.0,2003,2
1,117.0,1976,2
2,166.0,2001,2
3,160.0,1915,3
4,204.0,2000,3
5,127.0,1993,2
6,157.0,2004,2
7,194.0,1973,2
8,165.0,1931,2
9,100.0,1939,1
10,97.0,1965,1
11,216.0,2005,3
12,85.0,1962,1
13,139.0,2006,3
14,116.0,1960,1
15,79.0,1929,2
16,93.0,1970,2
17,120.0,1967,2
18,103.0,2004,2
19,124.0,1958,1
20,221.0,2005,3
21,103.0,1930,1
22,167.0,2002,2
23,98.0,1976,2
24,98.0,1968,1
25,149.0,2007,3
26,84.0,1951,2
27,158.0,2007,3
28,149.0,1957,1
29,48.0,1927,1
30,122.0,1920,1
31,114.0,1966,1
32,115.0,2007,2
33,158.0,1959,2
34,145.0,2005,2
35,228.0,2004,3
36,102.0,1994,2
37,120.0,1954,2
38,98.0,1953,1
39,107.0,1955,0
40,123.0,1965,2
41,123.0,1959,1
42,82.0,1983,2
43,87.0,1975,1
44,107.0,1959,1
45,163.0,2005,2
46,200.0,2003,2
47,154.0,2006,3
48,135.0,1920,0
49,89.0,1966,1
50,137.0,1997,2
51,109.0,1934,2
52,76.0,1963,2
53,171.0,1981,3
54,126.0,1955,2
55,132.0,1964,2
56,162.0,1999,2
57,160.0,2004,2
58,274.0,2006,3
59,72.0,1972,1
60,108.0,2004,2
61,103.0,1920,1
62,127.0,2006,2
63,159.0,1921,2
64,189.0,1997,2
65,230.0,2004,3
66,205.0,1970,2
67,137.0,2003,2
68,69.0,1945,1
69,212.0,1953,2
70,207.0,1973,2
71,79.0,1982,2
72,160.0,1998,2
73,101.0,1954,2
74,149.0,1915,1
75,92.0,1973,1
76,88.0,1956,1
77,119.0,1948,1
78,164.0,1968,0
79,114.0,1910,2
80,199.0,1968,1
81,124.0,1998,2
82,145.0,2007,3
83,99.0,1960,2
84,137.0,1995,2
85,225.0,1991,2
86,145.0,2005,2
87,114.0,2009,2
88,142.0,1915,0
89,92.0,1994,0
90,97.0,1950,2
91,115.0,1961,2
92,90.0,1921,2
93,213.0,1910,2
94,166.0,1997,2
95,137.0,1993,2
96,148.0,1999,2
97,89.0,1965,1
98,78.0,1920,1
99,114.0,1959,0
100,150.0,1977,2
101,161.0,1985,2
102,143.0,1979,2
103,114.0,2009,3
104,169.0,1931,1
105,185.0,2003,2
106,97.0,1885,1
107,73.0,1948,1
108,141.0,1919,0
109,171.0,1977,2
110,172.0,1954,1
111,133.0,2000,2
112,250.0,2007,3
113,210.0,1953,2
114,216.0,1945,1
115,135.0,1999,2
116,101.0,1962,1
117,105.0,2006,2
118,299.0,1990,3
119,135.0,2005,2
120,92.0,1969,2
121,104.0,1939,1
122,100.0,1958,1
123,111.0,1993,2
124,147.0,1979,2
125,70.0,1935,0
126,89.0,1976,2
127,78.0,1930,0
128,125.0,1966,2
129,98.0,1958,2
130,200.0,1966,2
131,191.0,2000,2
132,123.0,1959,2
133,120.0,2001,2
134,160.0,1968,2
135,156.0,1970,2
136,113.0,1967,1
137,182.0,1988,3
138,172.0,1999,3
139,164.0,1997,2
140,80.0,1971,0
141,161.0,2005,2
142,129.0,1952,2
143,139.0,1999,2
144,161.0,1963,2
145,159.0,2004,2
146,81.0,1931,1
147,189.0,2001,2
148,100.0,2004,0
149,125.0,1936,1
150,90.0,1975,2
151,159.0,2007,3
152,185.0,1971,2
153,116.0,1960,2
154,111.0,1923,1
155,102.0,1924,0
156,97.0,1950,2
157,183.0,2009,3
158,181.0,2004,2
159,229.0,2005,2
160,114.0,1984,2
161,248.0,2003,3
162,143.0,2005,2
163,82.0,1956,0
164,150.0,1926,1
165,126.0,1940,0
166,173.0,1955,1
167,201.0,2007,3
168,160.0,2004,2
169,159.0,1981,2
170,128.0,1941,2
171,154.0,1960,2
172,164.0,1987,2
173,127.0,1961,2
174,153.0,1986,2
175,200.0,1950,2
176,191.0,1988,2
177,178.0,1958,2
178,208.0,2008,3
179,90.0,1923,2
180,142.0,2000,2
181,167.0,1920,1
182,124.0,1957,1
183,193.0,2003,2
184,116.0,1908,2
185,335.0,1892,3
186,113.0,1990,2
187,154.0,1916,1
188,114.0,1979,2
189,148.0,2001,2
190,253.0,1932,2
191,137.0,1972,2
192,133.0,1999,2
193,159.0,2004,2
194,80.0,1972,1
195,135.0,1976,2
196,160.0,2007,3
197,289.0,1918,2
198,207.0,1912,0
199,159.0,2004,3
200,104.0,2003,2
201,119.0,1977,2
202,122.0,1924,1
203,79.0,2004,2
204,119.0,1947,1
205,134.0,1990,2
206,158.0,1962,1
207,102.0,1960,1
208,192.0,1988,2
209,101.0,1964,2
210,80.0,1925,0
211,113.0,2009,2
212,172.0,2009,2
213,92.0,1995,2
214,129.0,1977,1
215,115.0,1957,1
216,133.0,2004,2
217,123.0,1925,1
218,182.0,1939,2
219,116.0,2005,2
220,139.0,2006,2
221,211.0,2002,2
222,144.0,1975,2
223,80.0,1971,2
224,222.0,2003,3
225,121.0,1971,1
226,234.0,1995,3
227,92.0,1970,1
228,85.0,1967,1
229,144.0,2005,2
230,111.0,1959,1
231,260.0,1995,3
232,92.0,1972,1
233,83.0,1976,1
234,182.0,2002,2
235,92.0,1971,1
236,131.0,2004,2
237,162.0,1993,2
238,157.0,2007,3
239,138.0,1945,1
240,145.0,2008,2
241,80.0,1945,0
242,134.0,1900,1
243,113.0,1980,1
244,196.0,1994,2
245,174.0,1988,2
246,179.0,1910,1
247,128.0,1954,2
248,155.0,2003,2
249,199.0,1958,2
250,121.0,1940,0
251,151.0,2006,2
252,152.0,2004,2
253,121.0,1964,1
254,122.0,1957,1
255,213.0,1999,2
256,161.0,2003,2
257,149.0,2006,2
258,166.0,2001,2
259,82.0,1956,1
260,128.0,1962,2
261,239.0,2007,3
262,113.0,1977,2
263,122.0,1929,2
264,71.0,1925,2
265,132.0,1981,2
266,140.0,1997,2
267,204.0,1939,1
268,72.0,1940,1
269,103.0,1976,1
270,180.0,2006,3
271,127.0,1954,2
272,211.0,1999,3
273,152.0,1958,1
274,76.0,1982,1
275,144.0,1925,2
276,145.0,2003,2
277,80.0,1951,2
278,197.0,2006,3
279,188.0,1977,2
280,184.0,1989,2
281,117.0,2006,2
282,122.0,2007,2
283,136.0,2008,3
284,146.0,1992,2
285,116.0,2006,2
286,161.0,1962,2
287,80.0,1971,0
288,84.0,1967,1
289,130.0,1915,1
290,178.0,2006,2
291,159.0,1912,0
292,159.0,1949,1
293,210.0,1977,2
294,153.0,1953,2
295,93.0,1984,2
296,145.0,1950,1
297,181.0,1997,2
298,162.0,1968,2
299,107.0,1950,1
300,124.0,1953,1
301,228.0,1998,2
302,143.0,2001,3
303,83.0,1972,2
304,325.0,1880,3
305,186.0,2004,3
306,208.0,1990,3
307,131.0,1920,0
308,80.0,1940,2
309,181.0,2003,3
310,139.0,1993,2
311,90.0,1948,1
312,104.0,1939,2
313,189.0,1965,2
314,152.0,1925,2
315,133.0,2004,2
316,219.0,1980,2
317,182.0,2006,3
318,246.0,1993,3
319,137.0,1980,2
320,241.0,2006,3
321,229.0,2004,3
322,254.0,1986,2
323,108.0,1955,1
324,277.0,1967,2
325,75.0,1941,2
326,160.0,1993,2
327,128.0,1960,1
328,198.0,1916,2
329,111.0,1920,1
330,161.0,1964,1
331,98.0,1958,1
332,151.0,2003,3
333,126.0,2004,2
334,152.0,1998,2
335,166.0,1965,2
336,179.0,2005,3
337,143.0,2002,2
338,151.0,1984,2
339,113.0,1958,1
340,177.0,2002,2
341,78.0,1950,1
342,97.0,1949,2
343,156.0,2005,2
344,103.0,1976,1
345,147.0,1939,1
346,89.0,1960,1
347,137.0,1960,2
348,151.0,2003,2
349,253.0,2005,3
350,174.0,2007,2
351,135.0,1986,2
352,103.0,1941,1
353,67.0,1928,2
354,148.0,1940,1
355,111.0,1995,2
356,108.0,1992,2
357,106.0,1976,2
358,126.0,1958,1
359,179.0,1998,2
360,85.0,1978,2
361,140.0,1940,1
362,179.0,2003,2
363,92.0,1972,1
364,146.0,1976,2
365,125.0,1920,1
366,130.0,1963,2
367,133.0,1962,1
368,118.0,1954,1
369,120.0,1959,2
370,155.0,2000,2
371,148.0,1959,2
372,70.0,1984,1
373,123.0,1953,1
374,179.0,2003,2
375,84.0,1922,0
376,85.0,1996,2
377,229.0,2004,2
378,172.0,2010,3
379,167.0,2000,2
380,157.0,1924,1
381,121.0,2006,2
382,167.0,2006,2
383,73.0,1928,2
384,181.0,1992,2
385,118.0,2004,2
386,110.0,1910,0
387,105.0,1976,1
388,137.0,1999,2
389,217.0,2007,3
390,127.0,1900,1
391,182.0,2001,2
392,82.0,1959,1
393,73.0,1941,0
394,96.0,1940,1
395,106.0,1956,1
396,83.0,1972,2
397,168.0,1962,1
398,100.0,1920,1
399,144.0,2006,2
400,120.0,1996,2
401,122.0,2005,2
402,62.0,1940,1
403,210.0,1998,2
404,146.0,1995,2
405,151.0,1976,2
406,152.0,1936,1
407,156.0,1915,1
408,202.0,2006,3
409,193.0,2007,3
410,119.0,1958,1
411,98.0,1955,2
412,137.0,2009,2
413,96.0,1927,2
414,195.0,1993,3
415,124.0,2007,2
416,130.0,1978,2
417,244.0,1918,3
418,105.0,1940,1
419,98.0,1968,1
420,125.0,1997,4
421,149.0,1977,2
422,92.0,1954,2
423,244.0,1998,3
424,111.0,1956,1
425,129.0,1946,1
426,153.0,1989,2
427,84.0,1957,1
428,112.0,2007,2
429,131.0,1988,2
430,92.0,1971,1
431,111.0,1920,0
432,127.0,1971,2
433,149.0,1997,2
434,59.0,1972,0
435,154.0,1996,2
436,104.0,1920,2
437,84.0,1926,1
438,64.0,1913,1
439,111.0,1920,2
440,223.0,2008,3
441,134.0,1955,0
442,146.0,1930,2
443,117.0,2006,3
444,177.0,1994,2
445,157.0,1956,2
446,175.0,1966,2
447,175.0,1998,2
448,128.0,1937,1
449,110.0,1948,1
450,76.0,1930,1
451,142.0,1975,2
452,163.0,1996,2
453,148.0,2008,2
454,161.0,1976,2
455,115.0,1973,2
456,125.0,1916,3
457,154.0,1954,2
458,155.0,1925,1
459,112.0,1950,1
460,180.0,2009,2
461,105.0,1936,2
462,80.0,1965,1
463,154.0,1934,1
464,97.0,1978,0
465,131.0,2004,2
466,119.0,1970,2
467,153.0,1942,1
468,152.0,2006,3
469,159.0,1993,2
470,140.0,1985,2
471,183.0,1977,2
472,100.0,2005,2
473,184.0,2006,3
474,153.0,2000,2
475,90.0,1963,2
476,139.0,1997,2
477,246.0,2006,3
478,160.0,2007,3
479,105.0,1937,2
480,172.0,2004,3
481,166.0,2003,3
482,170.0,1915,1
483,113.0,1998,2
484,93.0,1962,1
485,103.0,1950,1
486,100.0,1965,2
487,138.0,1971,2
488,224.0,1900,2
489,59.0,1970,1
490,121.0,1976,1
491,147.0,1941,1
492,135.0,2006,2
493,118.0,1960,1
494,82.0,1938,1
495,67.0,1920,0
496,300.0,1992,2
497,169.0,1925,1
498,84.0,1967,1
499,85.0,1958,1
500,113.0,1973,1
501,164.0,2005,2
502,113.0,1965,2
503,167.0,1959,2
504,123.0,1974,2
505,182.0,1952,2
506,178.0,1993,2
507,113.0,2009,2
508,128.0,1928,2
509,97.0,1959,1
510,127.0,1951,1
511,127.0,2005,2
512,80.0,1958,2
513,100.0,1983,2
514,73.0,1926,1
515,188.0,2009,3
516,197.0,1972,2
517,218.0,1996,3
518,167.0,1998,2
519,193.0,1926,1
520,120.0,1900,0
521,116.0,1957,1
522,155.0,1947,2
523,434.0,2007,3
524,223.0,1996,3
525,118.0,2005,2
526,86.0,1956,1
527,252.0,2008,3
528,56.0,1920,0
529,234.0,1957,2
530,140.0,1988,2
531,127.0,1920,2
532,77.0,1955,1
533,31.0,1946,0
534,131.0,2004,2
535,125.0,1910,0
536,160.0,1998,2
537,80.0,1972,2
538,108.0,1968,1
539,149.0,2001,2
540,171.0,2006,3
541,212.0,2000,3
542,156.0,1998,2
543,71.0,1998,1
544,139.0,2006,2
545,203.0,1988,3
546,152.0,1923,2
547,71.0,1970,2
548,77.0,1955,2
549,195.0,2003,2
550,99.0,1977,2
551,86.0,1957,1
552,160.0,2006,3
553,105.0,1949,2
554,190.0,2003,3
555,97.0,1922,1
556,101.0,1957,1
557,124.0,1920,1
558,134.0,1996,2
559,145.0,2003,2
560,129.0,1957,2
561,129.0,1974,2
562,93.0,1940,0
563,156.0,1918,2
564,213.0,1992,2
565,153.0,1915,1
566,233.0,2005,3
567,143.0,2004,2
568,198.0,1983,2
569,88.0,1979,2
570,161.0,1965,2
571,80.0,1959,1
572,157.0,2009,2
573,133.0,2000,2
574,103.0,1971,1
575,113.0,1947,1
576,137.0,1928,1
577,123.0,1966,2
578,129.0,2007,2
579,167.0,1954,1
580,133.0,1960,2
581,190.0,2008,3
582,76.0,1990,0
583,258.0,1893,2
584,146.0,1935,1
585,188.0,2005,3
586,78.0,1918,1
587,80.0,1982,2
588,137.0,1968,1
589,87.0,1930,1
590,147.0,2004,2
591,213.0,2008,3
592,76.0,1982,2
593,79.0,2003,2
594,86.0,1975,1
595,170.0,2005,3
596,127.0,1910,1
597,130.0,2006,3
598,153.0,1977,2
599,145.0,1980,2
600,177.0,2005,2
601,128.0,1937,1
602,178.0,1992,2
603,111.0,2004,2
604,139.0,2002,2
605,185.0,1965,2
606,97.0,1996,2
607,187.0,1948,1
608,297.0,1934,2
609,96.0,1961,1
610,200.0,2000,3
611,96.0,1978,2
612,174.0,2001,2
613,104.0,2007,0
614,59.0,1972,0
615,98.0,1963,2
616,140.0,2002,2
617,77.0,1954,2
618,170.0,2007,3
619,210.0,2003,3
620,80.0,1914,0
621,243.0,1974,2
622,91.0,1977,2
623,140.0,2000,2
624,166.0,1972,2
625,104.0,1962,2
626,132.0,1960,1
627,141.0,1955,1
628,193.0,1969,2
629,125.0,1964,2
630,163.0,1880,1
631,144.0,2006,2
632,131.0,1977,2
633,98.0,1954,1
634,98.0,1980,2
635,315.0,1914,0
636,74.0,1936,0
637,129.0,1954,1
638,74.0,1910,0
639,146.0,2006,3
640,141.0,2003,2
641,179.0,2001,2
642,251.0,1972,2
643,151.0,1969,2
644,164.0,2009,3
645,91.0,1971,2
646,97.0,1950,2
647,102.0,1953,2
648,171.0,1966,2
649,59.0,1970,0
650,155.0,2007,2
651,140.0,1940,1
652,159.0,1996,2
653,136.0,1906,1
654,196.0,1995,3
655,101.0,1971,1
656,98.0,1959,1
657,140.0,1931,1
658,135.0,1948,1
659,138.0,1964,2
660,180.0,1976,2
661,227.0,1994,3
662,129.0,1968,2
663,110.0,1972,2
664,195.0,2005,3
665,180.0,2000,2
666,221.0,1965,2
667,156.0,1994,2
668,134.0,1956,2
669,110.0,1922,1
670,137.0,2005,2
671,127.0,1925,1
672,112.0,1977,2
673,171.0,1957,2
674,106.0,1965,1
675,134.0,1978,2
676,165.0,1900,3
677,74.0,1924,1
678,190.0,2008,3
679,92.0,1961,2
680,86.0,1980,1
681,141.0,1932,1
682,120.0,1996,2
683,155.0,2002,3
684,171.0,1998,2
685,194.0,1984,2
686,164.0,2007,2
687,102.0,2004,2
688,132.0,2007,2
689,127.0,2005,2
690,79.0,2004,2
691,401.0,1994,3
692,234.0,1989,2
693,100.0,1921,1
694,143.0,1936,2
695,106.0,1987,2
696,57.0,1921,1
697,107.0,1952,1
698,83.0,1965,1
699,129.0,2004,2
700,167.0,2002,3
701,108.0,1969,2
702,239.0,2006,3
703,168.0,1900,2
704,138.0,2004,2
705,101.0,1930,0
706,169.0,1971,2
707,123.0,2006,2
708,135.0,2007,2
709,84.0,1966,1
710,68.0,1935,0
711,109.0,1900,1
712,114.0,1988,2
713,89.0,1970,2
714,137.0,1976,2
715,125.0,1974,2
716,237.0,1890,2
717,109.0,1973,2
718,225.0,1993,3
719,90.0,1969,1
720,162.0,1985,2
721,79.0,2004,2
722,80.0,1970,2
723,137.0,1954,1
724,158.0,2007,3
725,80.0,1970,2
726,156.0,1988,2
727,114.0,2007,2
728,165.0,1958,3
729,112.0,1925,2
730,150.0,1995,2
731,106.0,2003,2
732,189.0,1998,2
733,106.0,1961,1
734,88.0,1968,1
735,164.0,1914,2
736,97.0,1950,2
737,167.0,2005,3
738,111.0,1987,0
739,161.0,2004,2
740,133.0,1910,2
741,85.0,1961,1
742,125.0,2000,2
743,136.0,1963,2
744,124.0,1993,2
745,252.0,1976,2
